product_id,product_name,price
ddc99363-5b73-4e79-b77d-c0cfb1a6a541,Brandy Apricot,4.47
4d30b92c-d944-4345-baac-525929fd3b64,Wine - Port Late Bottled Vintage,6.04
f703aa12-9750-442a-9a7e-5788ed3f0dd8,"Lamb - Loin, Trimmed, Boneless",2.46
b4c532d7-7e2b-4cd1-84d5-ba162f49f06c,Tomatoes - Grape,2.93
e5143473-bf49-4b7b-96a2-92a68e3aa773,V8 Splash Strawberry Kiwi,2.82
de939939-45c8-49eb-a995-542814e0bac2,Scallops - In Shell,8.72
3b7383d5-7526-4f70-b70f-87ceb9c16be1,"Shrimp - 16/20, Iqf, Shell On",3.81
d0e73858-6dc8-46a9-a130-dc1f3fb95f12,Potatoes - Yukon Gold 5 Oz,2.71
e8cf914e-3e6d-46b2-8198-31ebf33c15c5,Bagel - Everything,1.18
02f40da0-1b54-420b-999a-72632f0e93b8,Cheese - Comtomme,7.79
cacae1bb-9609-4386-a81d-b8ba79049f79,Ice Cream - Fudge Bars,0.53
630cf8aa-ec06-4d79-8d73-df15a9318d7f,Banana,1.07
2b123e76-e05b-42be-abfb-4ebf50f4ad87,"Nut - Hazelnut, Ground, Natural",8.06
021af736-fd9e-46b1-993f-1a9248692ede,"Pork - Loin, Center Cut",1.62
58eadced-aabb-43d8-bcd6-0a76f72f9a3f,The Pop Shoppe - Grape,1.28
000f5bfc-7eff-4612-9168-fc74abd63296,"Pork - Bacon, Sliced",7.41
1cd12973-80eb-4075-9468-2be6ebf63b61,Beer - True North Strong Ale,4.24
a9b43166-2dcf-46b8-b2e2-0e7044be6260,Oyster - In Shell,1.6
1756cd39-ac38-4e69-a2ef-82c749660dab,Orange Roughy 6/8 Oz,5.05
c93d19a0-6731-4ab4-aabd-f3b5a1e45ca6,Bread - English Muffin,9.02
5b9e0e92-952c-4179-b8e6-2957dd1522ee,Alize Sunset,5.63
74d5b300-7538-450a-9d0a-b738c4a26977,Bread Roll Foccacia,2.37
d96a0d05-cb2a-4643-909b-ae331247e1d8,"Leeks - Baby, White",7.16
1cd3855a-649a-4c4e-abc2-a54d332b1809,Ocean Spray - Kiwi Strawberry,1.27
a6f436e5-2af9-4e96-b786-1e4c496c8dc4,Appetizer - Assorted Box,0.78
f0f63124-c045-4769-986c-6753948d5361,Dip - Tapenade,5.11
c3e94f64-8293-4fbb-afd0-181d1bc54414,"Lemonade - Strawberry, 591 Ml",9.02
0ad272b4-fee3-4f0a-9ae2-79413fa5410f,Butcher Twine 4r,2.3
ffcb3662-7e59-4e05-ba1f-50451cbbaef9,Mcgillicuddy Vanilla Schnap,0.47
366197eb-63ec-4f82-82bf-0426b178e4a9,Cheese - Parmesan Cubes,9.49
f3f3cc2d-d3c4-4271-b060-fcb783a2bae4,Blouse / Shirt / Sweater,0.86
5b44cc95-38a8-426a-ab5a-b84a38ba81ec,Cookie Dough - Double,4.81
c2352574-f8d1-4e58-99ce-e9640f9a191c,Garam Masala Powder,2.74
b039c9b2-760e-4a59-b112-3c600189779b,Spice - Greek 1 Step,4.83
e0dc1b8a-d418-4f0e-a145-30c03e65f26e,Pastry - Mini French Pastries,8.73
963cde83-970c-40d2-96e9-c11fe61c6b29,Oil - Sesame,7.94
8c188e29-f7e1-4308-a8d2-82637e9fefc4,Pork - Smoked Back Bacon,3.04
ec2ac5af-3cb4-4e13-bae7-5ccd65a52cfe,"Wine - Red, Antinori Santa",1.95
802653d8-2496-4bca-b6da-24beaf3c72af,Goldschalger,5.42
